"REST_ID","REST_NAME","CUISINE"
18287405,"Public Cafe","Beverages"
18412870,"Dhabha 27","Mughlai"
18412870,"Dhabha 27","Chinese"
18466390,"The Chickmunks Express","Fast Food"
18466390,"The Chickmunks Express","Italian"
18466390,"The Chickmunks Express","North Indian"
18466390,"The Chickmunks Express","Chinese"
18396157,"Biryani House","Biryani"
18396157,"Biryani House","North Indian"
308763,"Shadev Saini Dhaba","North Indian"
18381258,"Hot Chilli Food Plaza","North Indian"
18381258,"Hot Chilli Food Plaza","South Indian"
310753,"Tibb's Frankie","Fast Food"
18303838,"The Choco Shop","Bakery"
310724,"The Taste","Bakery"
310724,"The Taste","Fast Food"
18339329,"Amrit's Agni Multi Cuisine Restaurant","North Indian"
18339329,"Amrit's Agni Multi Cuisine Restaurant","Chinese"
18378765,"Fresh and Fit Ghar Ka Khana","North Indian"
